,_id,status,items,otp,button,paymentmode,userId,price,createdAt,updatedAt,__v
0,63dfe8107771d34b50ec1f77,NEW,"[{'dishId': '633e13ee3c019d3208f40d81', 'qty': 2}]",1484,False,KOT,63abbf9fbeea136350a4b38f,360,2023-02-05 17:32:00.779,2023-02-05 17:32:00.779,0
1,63e07e1c09901c4fc0bb2707,COMPLETED,"[{'dishId': '633e13c13c019d3208f40d7f', 'qty': 1}, {'dishId': '633e13ee3c019d3208f40d81', 'qty': 1}]",0,True,CASH,,300,2023-02-06 04:12:12.513,2023-02-06 04:12:47.529,0
2,63e07e8109901c4fc0bb2751,COMPLETED,"[{'dishId': '633eea44ddda646c34132045', 'qty': 2}]",0,True,CASH,,400,2023-02-06 04:13:53.568,2023-02-06 04:13:58.565,0
3,63e07eaf09901c4fc0bb277e,COMPLETED,"[{'dishId': '633e13c13c019d3208f40d7f', 'qty': 3}]",0,True,CASH,,420,2023-02-06 04:14:39.325,2023-02-06 04:14:54.462,0
4,63e07f3509901c4fc0bb27fa,COMPLETED,"[{'dishId': '633e13c13c019d3208f40d7f', 'qty': 2}]",0,True,CASH,,280,2023-02-06 04:16:53.992,2023-02-06 04:17:00.630,0
5,63e0b01b09901c4fc0bb2877,COMPLETED,"[{'dishId': '633e13ee3c019d3208f40d81', 'qty': 1}, {'dishId': '633e13c13c019d3208f40d7f', 'qty': 1}]",0,True,CASH,,300,2023-02-06 07:45:31.776,2023-02-06 07:45:48.044,0
6,63e1d5998db3f87bb229b9f2,NEW,"[{'dishId': '633e140b3c019d3208f40d83', 'qty': 1}]",7789,False,KOT,63aa73ccf0292921f4e7c2cb,1,2023-02-07 04:37:45.449,2023-02-07 04:37:45.449,0
7,63e1d7198db3f87bb229bb25,COMPLETED,"[{'dishId': '633eea44ddda646c34132045', 'qty': 2}]",4842,False,KOT,63aa73ccf0292921f4e7c2cb,400,2023-02-07 04:44:09.215,2023-02-07 04:44:09.215,0
8,63e1ffe22c5b1158741302ca,NEW,"[{'dishId': '633e05243c019d3208f40d7d', 'qty': 3}]",0,True,CASH,,360,2023-02-07 07:38:10.277,2023-02-07 07:38:10.277,0
9,63e203232c5b115874130468,COMPLETED,"[{'dishId': '633e05243c019d3208f40d7d', 'qty': 1}, {'dishId': '633e13c13c019d3208f40d7f', 'qty': 1}, {'dishId': '633e13ee3c019d3208f40d81', 'qty': 1}, {'dishId': '6340817ae663076584fa4e67', 'qty': 1}, {'dishId': '63a29b183916dedb7a6075f1', 'qty': 1}, {'dishId': '63a59318728abd452f58b8b5', 'qty': 1}]",0,True,CASH,,610,2023-02-07 07:52:03.325,2023-02-07 07:52:19.871,0
10,63e22be88db3f87bb229bb74,COMPLETED,"[{'dishId': '633eea02ddda646c34132043', 'qty': 1}]",7352,False,KOT,63aa73ccf0292921f4e7c2cb,230,2023-02-07 10:46:00.674,2023-02-07 10:46:00.674,0
11,63e22d478db3f87bb229bc52,COMPLETED,"[{'dishId': '633e140b3c019d3208f40d83', 'qty': 10}]",7881,False,KOT,63e22ca986e9053f554683e0,10,2023-02-07 10:51:51.698,2023-02-07 10:51:51.698,0
12,63e22f0f8db3f87bb229bf35,NEW,"[{'dishId': '6340500232270b02de0c0390', 'qty': 1}]",2149,False,KOT,63e22ca986e9053f554683e0,21,2023-02-07 10:59:27.825,2023-02-07 10:59:27.825,0
13,63e22f5e8db3f87bb229bf95,NEW,"[{'dishId': '635a1cad06025e10cb96ef0b', 'qty': 1}]",3496,False,KOT,63e22ca986e9053f554683e0,60,2023-02-07 11:00:46.457,2023-02-07 11:00:46.457,0
14,63e22f708db3f87bb229c035,NEW,"[{'dishId': '633e14293c019d3208f40d85', 'qty': 4}]",1524,False,KOT,63e22ca986e9053f554683e0,800,2023-02-07 11:01:04.241,2023-02-07 11:01:04.241,0
15,63e22f938db3f87bb229c08a,NEW,"[{'dishId': '633e14293c019d3208f40d85', 'qty': 13}]",188,False,KOT,63e22ca986e9053f554683e0,2600,2023-02-07 11:01:39.456,2023-02-07 11:01:39.456,0
16,63e3b550b7feef2bc93c71a7,NEW,"[{'dishId': '6340ea34aa910d82e4847ec2', 'qty': 1}]",7791,False,KOT,63aa73ccf0292921f4e7c2cb,30,2023-02-08 14:44:32.039,2023-02-08 14:44:32.039,0
17,63e40de811e4eb3328e954f0,NEW,"[{'dishId': '633eea44ddda646c34132045', 'qty': 1}, {'dishId': '633eea02ddda646c34132043', 'qty': 1}, {'dishId': '633e14293c019d3208f40d85', 'qty': 6}]",8230,False,KOT,63aa73ccf0292921f4e7c2cb,1630,2023-02-08 21:02:32.760,2023-02-08 21:02:32.760,0
18,63e4101e11e4eb3328e95562,NEW,"[{'dishId': '633eea44ddda646c34132045', 'qty': 1}]",5788,False,KOT,63aa73ccf0292921f4e7c2cb,200,2023-02-08 21:11:58.704,2023-02-08 21:11:58.704,0
19,63e486d511e4eb3328e96458,NEW,"[{'dishId': '633e143c3c019d3208f40d87', 'qty': 4}, {'dishId': '633e14293c019d3208f40d85', 'qty': 1}]",8638,False,KOT,633b2d92029cd83e7424ccd0,1080,2023-02-09 05:38:29.902,2023-02-09 05:38:29.902,0
20,63e4882611e4eb3328e964db,NEW,"[{'dishId': '633eea02ddda646c34132043', 'qty': 1}]",7008,False,KOT,633b2d92029cd83e7424ccd0,230,2023-02-09 05:44:06.468,2023-02-09 05:44:06.468,0
21,63e48b7311e4eb3328e965ad,NEW,"[{'dishId': '633eea44ddda646c34132045', 'qty': 1}]",8245,False,KOT,633b2d92029cd83e7424ccd0,200,2023-02-09 05:58:11.366,2023-02-09 05:58:11.366,0
22,63e4926111e4eb3328e96993,NEW,"[{'dishId': '633eea44ddda646c34132045', 'qty': 1}]",7051,False,KOT,63aa73ccf0292921f4e7c2cb,200,2023-02-09 06:27:45.892,2023-02-09 06:27:45.892,0
